database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	QC_Inf_1_GC	QC_Inf_2_GC	QC_Inf_3_GC	QC_Inf_4_GC	QC_Inf_5_GC	QC_Inf_6_GC	QC_Inf_7_GC	QC_Inf_8_GC	QC_Moth_1_GC	QC_Moth_2_GC	QC_Moth_3_GC	QC_Moth_4_GC	QC_Moth_6_GC	QC_Moth_7_GC	QC_Moth_8_GC	QC_Gran_1_GC	QC_Gran_2_GC	QC_Gran_4_GC	QC_Gran_5_GC	QC_Gran_6_GC	QC_Gran_7_GC	QC_Gran_8_GC	Inf_02	Inf_03	Inf_04	Inf_05	Inf_06	Inf_07	Inf_08	Inf_09	Inf_10	Inf_11	Inf_12	Inf_13	Inf_14	Inf_15	Inf_16	Inf_17	Inf_18	Inf_19	Inf_20	Inf_21	Inf_22	Inf_23	Inf_24	Inf_25	Inf_26	Inf_27	Inf_28	Inf_29	Inf_30	Inf_31	Inf_32	Inf_33	Inf_34	Inf_35	Inf_36	Inf_37	Inf_39	Inf_40	Inf_41	Inf_42	Inf_43	Inf_44	Inf_45	Inf_46	Inf_47	Inf_48	Inf_49	Inf_50	Inf_51	Inf_52	Inf_53	Inf_54	Inf_55	Inf_56	Inf_58	Inf_59	Inf_60	Inf_62	Inf_63	Inf_64	Inf_65	Inf_66a	Inf_66b	Inf_67a	Inf_67b	Moth_01	Moth_02	Moth_03	Moth_04	Moth_05	Moth_06	Moth_07	Moth_08	Moth_09	Moth_10	Moth_11	Moth_12	Moth_13	Moth_14	Moth_15	Moth_16	Moth_17	Moth_18	Moth_19	Moth_20	Moth_21	Moth_22	Moth_23	Moth_24	Moth_25	Moth_26	Moth_27	Moth_28	Moth_29	Moth_30	Moth_31	Moth_32	Moth_33	Moth_34	Moth_35	Moth_36	Moth_37	Moth_38	Moth_39	Moth_40	Moth_41	Moth_42	Moth_43	Moth_44	Moth_45	Moth_46	Moth_47	Moth_48	Moth_49	Moth_50	Moth_51	Moth_52	Moth_53	Moth_54	Moth_55	Moth_56	Moth_57	Moth_58	Moth_59	Moth_60	Moth_61	Moth_62	Moth_63	Moth_64	Moth_65	Moth_66	Moth_67	Gran_01	Gran_02	Gran_03	Gran_04	Gran_05	Gran_06	Gran_07	Gran_08	Gran_09	Gran_10	Gran_11	Gran_12	Gran_13	Gran_14	Gran_15	Gran_16	Gran_17	Gran_18	Gran_19	Gran_21	Gran_22	Gran_24	Gran_25	Gran_26	Gran_27	Gran_28	Gran_29	Gran_30	Gran_31	Gran_32	Gran_33	Gran_34	Gran_35	Gran_36	Gran_37	Gran_38	Gran_39	Gran_40	Gran_41	Gran_42	Gran_43	Gran_44	Gran_45	Gran_46	Gran_47	Gran_48	Gran_49	Gran_50	Gran_51	Gran_52	Gran_53	Gran_54	Gran_55	Gran_56	Gran_57	Gran_58	Gran_59	Gran_61	Gran_63	Gran_64	Gran_65	Gran_66	Gran_67
CHEBI:17148	C4H12N2	NCCCCN	InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2	Putrescine	88.0393			Positive	15.766												122305.291	122395.174	102224.937	130297.593	118085.647	88046.497	124214.698	120779.709	121542.5	130106.09	114181.479	87266.729	133781.461	101050.87	139656.402	104938.329	126245.95	121542.5	124316.197	105041.122	124622.849	105803.003	26092.8	35164.912	85705.895	30877.249	749922.023	199021.668	50042.982	173848.348	146424.308	107922.792	1060081.624	187746.207	326118.697	23651.382	1837985.204	290701.14	528315.422	614925.006	277460.399	846569.354	86573.144	440964.911	28524.5	214664.959	902717.094	133550.386	69658.131	73123.486	280685.256	141422.439	1236424.833	431722.75	63394.255	54722.973	27392.46	193329.887	782010.263	38473.579	14381.284	702205.068	466461.325	325378.984	158475.921	681318.196	1297536.788	2141806.837	329835.481	91081.871	431380.222	633319.445	90330.012	158003.428	175794.194	98787.519	579941.074	76228.094	34335.316	71132.698	416309.025	319965.353	21291.345	178923.095	186498.777	137380.132	37928.208	54648.343	3165.736	19406.406	12222.687	177360.864	5205.134	80052.174	8060.806	6006.847	7003.848	23407.259	40970.412	35932.301	4898.497	23005.546	24304.903	9500.634	46548.993	5496.355	23513.469	20531.887	22377.709	115527.088	7160.593	21183.706	976263.765	234152.246	29338.731	8682.647	135161.331	20437.668	9311.34	7720.764	48103.596	90771.651	17566.579	83159.666	11313.052	175919.323	30578.987	44245.783	4420.553	42111.31	11471.51	536889.439	12191.852	41155.422	7223.12	60074.463	99298.409	42291.181	5113.486	8310.913	159879.938	25151.154	116191.755	1730851.504	203610.947	9201.705	48035.93	78918.128	49662.481	86466.729	67444.049	158758.74	42194.394	56378.535	23578.58	17704.666	6031.991	5934.38	5393.635	16194.725	3863.826	9962.33	16124.756	11277.914	5334.032	21714.476	10007.248	8842.831	301406.051	230683.268	134104.037	191659.751	36775.881	12807.723	15295.498	8505.945	7268.968	135978.506	24290.36	116283.62	14702.924	23720.245	11355.657	31000.442	4957.41	16641.315	8179.425	73093.079	15260.946	5910.194	7197.272	5159.542	36381.984	69185.199	6850.02	11848.029	334936.595	35025.801	81061.734	17494.76	16013.325	67464.488	2221757.683	35916.39	14049.019	83945.135	5662.28	3850.869	127068.298	84840.906	71758.492	30717.112	484840.595	418059.381	57332.851	4902.99	106310.06
CHEBI:15887	C5H11NO2	NCCCCC(O)=O	InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	5-Aminovaleric Acid	88.0393			Positive	14.237												578825	517710	402265	711681	520469	483789	538647	510169	525368.494	651856.822	487181.296	442746.503	558625.832	486008.654	519089.5	576840.533	385031.04	519089.5	557197.264	508682.897	695810.878	510301.722	609535	262838	375985	6720	198915	111450	1952476	4536	207334	384	2364117	1922956	1205803	0	2605173	645658	832220	209665	1436278	3015016	608057	1678648	17829	1295047	578269	1260736	706865	127	282096	1130022	362194	166621	860	214234	1351	1147201	4859129	479149	1074468	395912	233146	2513724	2228462	1137963	354860	537695	3822313	2668	425320	44124	94473	291466	17366	3392	4109	1545746	1857353	2459	306341	5520394	0	1627916	1043702	44181	45023	110086.5	165524.42	357814.96	160827.355	273305.698	283222.805	176806.903	299726.414	397233.27	819127.753	105298.482	93592.636	120103.222	302760.341	899195.485	79545.836	63560.875	116391.48	92551.009	221580.602	369446.096	55006.977	327908.801	209975.453	299112.483	3033501.27	501555.092	191140.637	267626.559	453102.134	136233.275	93012.27	225292.344	444005.767	79054.258	69266	414604.179	156267.803	15833.373	84068.574	226951.151	313091.068	93093.478	145462.822	1109523.922	691353.092	458800.762	11246.751	347446.337	143425.046	666288.006	148263.953	125115.373	85999.156	365662.891	79086.741	4116248.243	95314.243	35737.969	192254.809	522980.982	436563.876	152003.847	60800.889	1211563.261	126144.006	113951.995	137000.974	405322.899	65661.359	123067.773	103337.908	231147.282	134447.261	215217.943	219022.887	283440.084	9018.408	237597.838	109598.482	36100.139	1049709.59	40982.238	565946.162	2104956.938	57128.068	101056.355	183525.389	72094.242	34877.185	148778.099	259130.324	122952.017	103299.912	504659.694	194663.643	122731.991	56612.908	212223.294	215093.35	336432.727	169685.853	81155.064	267365.828	166555.125	232000.876	513316.694	140332.289	207094.66	40689.754	207925.28	227731.138	164764.874	303254.778	137847.499	377441.475	158663.355	82380.67	118625.726	378849.11	175723.75	755968.056	226106.128	201053.228	407984.416	577841.695	1925150.781	266260.397	26612.52	584673.982
CHEBI:16010	C5H7NO3	OC(=O)C1CCC(=O)N1	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pyroglutamic Acid	56.0495			Positive	13.603												53279.849	42575.395	43401.605	41716.202	29159.784	57791.848	43520.342	32138.099	44696.094	42774.187	44492.15	42988.5	42661.499	42903.466	44564.049	42988.5	43680.243	26681.384	89693.828	44437.688	34069.05	37708.914	283028.995	23015.153	30833.643	41284.132	39804.869	25637.258	510510.598	181621.156	117374.643	45509.184	56383.497	263808.472	77599.458	6810.876	24733.539	37377.361	33788.87	96721.033	86837.842	59775.742	16146.558	29647.924	6481.051	206663.081	25706.521	73639.915	5852.736	40960.904	219481.71	41488.623	26113.854	152715.337	145213.479	7980.104	46889.499	27233.608	21690.908	23758.907	45822.517	25907.714	79629.528	37321.291	35231.852	136626.498	14174.208	42215.886	22555.048	57419.146	26877.398	49843.078	34417.186	45250.271	95593.033	44376.237	33648.695	87789.386	5811.508	65516.338	76857.353	50301.534	19194.136	28124.135	19298.031	54391.357	17442.768	53882.533	54134.179	30641.975	39434.354	54311.16	27758.423	23486.673	17617.943	22312.789	17586.142	65093.889	20555.419	23331.123	12701.179	17822.578	54010.43	42947.711	49034.903	33857.367	59723.61	31273.162	82353.03	67811.521	50793.655	30378.577	26850.702	23162.438	11473.371	23160.364	42113.272	90609.626	57688.324	44078.733	23009.653	86658.655	11894.393	18780.075	28077.128	29176.348	34483.024	78915.72	25016.594	45621.098	26368.151	19497.679	23355.32	40314.422	14647.283	13440.906	48545.439	30191.917	17493.503	27810.964	30779.55	36710.5	28581.11	18720.62	27105.804	12518.667	40797.664	15964.965	16168.908	12286.379	40084.899	16965.324	47858.253	10979.067	81449.227	20745.722	17764.751	53314.901	47161.485	23132.564	29195.875	22392.953	23298.695	62777.796	17441.875	48896.943	26520.885	57467.236	25020.075	21572.623	64205.396	10212.831	31031.763	58739.03	37154.206	42311.774	20010.804	81724.235	23828.062	13168.46	24035.491	30398.213	11734.29	15537.469	31892.453	14196.22	25298.837	34245.506	35196.301	41813.382	9524.842	8146.049	31593.042	7779.059	21483.456	21582.947	20491.363	16984.78	42023.626	63119.444	22022.209	46063.331	21804.455	23752.036	46529.812	55159.236	9226.37	17351.77	12241.13	23909.719	26835.314	47451.51	19403.534	18723.054	23771.746	16742.623	41861.25
CHEBI:16449	C3H7NO2	CC(N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	Alanine	55.0128			Positive	11.04												45541.576	46334.519	42296.742	42622.3	45352.473	35176.371	51007.296	43592.527	46214.776	41684.252	44472.5	45415.391	42250.189	40710.033	48141.992	45589.871	43551.102	44472.5	43749.544	48586.268	43819.534	44806.805	29212.107	45784.402	36535.549	42659.905	38488.896	60205.65	27303.887	39579.461	25553.61	42785.616	25552.535	38109.616	38405.089	39924.359	50756.95	57188.599	32718.033	39400.028	29540.888	55689.743	19950.361	42637.342	51645.519	70766.405	42624.448	48565.075	20662.72	34757.336	26603.346	40322.98	39288.286	59048.469	37615.369	29708.502	28722.159	46547.26	52335.315	16736.685	48253.484	34504.841	35847.901	36186.353	59831.742	44562.754	11052.852	76240.72	27760.527	40060.814	21576.001	31680.116	27609.03	27078.252	20322.12	40046.846	50460.402	41714.391	5139.087	58226.516	37580.987	53006.845	20861.493	21043.075	20156.655	39138.937	27500.511	25612.667	43577.108	19636.985	41157.729	37068.838	16669.861	53538.6	20391.903	32681.82	16032.172	37664.082	21107.409	34527.177	25932.017	38460.436	45493.207	54533.031	48443.151	46695.822	21542.978	27273.085	18998.285	25015.402	22204.921	35879.361	39837.885	31865.255	31353.891	31374.103	34635.312	25928.985	36972.831	21621.805	28580.802	20091.755	16171.634	15959.408	37351.807	59253.548	47177.878	37721.686	37892.478	70939.125	33677.262	30199.785	39586.245	30192.71	12704.263	12789.153	21772.384	37006.181	25264.01	16243.387	29077.007	33868.266	90784.294	35429.644	25432.78	29438.802	48343.101	20174.624	60135.802	19238.808	18469.741	35566.075	29035.572	22935.586	35932.891	47631.933	27933.44	19532.987	42108.483	15992.314	38027.652	21906.885	33969.876	81846.362	19130.339	76751.087	29091.981	65912.51	77062.337	33864.479	28041.307	30689.401	94190.137	30831.028	43715.784	45885.476	17500.806	31207.327	40669.158	16659.278	59153.118	45082.649	17411.054	29021.168	19896.112	31592.684	24513.809	21888.77	25080.316	23159.295	20487.322	15556.729	20714.584	35444.607	20530.963	24774.007	14656.739	27278.004	65220.021	68325.108	86324.902	26423.302	30652.347	25669.056	28983.291	26452.945	19144.337	24035.406	32789.926	61816.857	39669.536	55793.596	36631.968	14016.948	87268.532	24344.186	67501.696
CHEBI:22660	C4H7NO4	NC(CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	Aspartic Acid	118.0499			Positive	14.175												619208.512	655428.809	611274.979	623030.488	645765.85	614101.817	611030.217	647111.471	620487.601	666411.245	622942.208	620920.532	617724.044	621119.5	660309.222	655892.49	613525.658	617319.975	860720.491	616150.69	693555.273	621119.5	620606.992	541025.758	1271447.361	200726.179	916607.952	470198.529	1126716.705	790258.638	552827.232	30499.973	840004.091	1071373.883	1327729.015	199810.329	1011375.971	1234438.766	1146465.5	604521.595	786395.292	1117102.008	657577.666	1155695.241	34112.81	1141145.07	1192359.1	1190236.673	228583.173	875526.872	653398.312	427909.722	511178.486	872533.411	525625.237	96639.937	1449433.582	784754.347	719610.671	300299.822	1662391.006	722709.851	686836.588	358791.236	1203696.329	594617.32	123832.739	168666.849	570347.882	505278.898	473951.558	497678.611	844328.234	413612.357	263638.262	577706.853	743865.171	949621.053	96259.578	709600.677	1158741.561	727082.257	236558.074	519413.088	583828.221	322729.517	124383.168	347336.359	366131.348	291222.348	962986.735	783634.466	477445.516	551632.631	485699.194	530809.967	373821.116	743970.82	656145.889	634439.366	531587.842	179465.251	732604.641	1581521.649	848115.137	619073.828	486647.042	600715.769	769318.759	547464.299	364422.621	794933.656	808916.416	675836.735	801406.619	1200227.73	1021309.392	790146.423	484086.452	516684.23	947975.139	522959.225	406124.941	471793.421	757681.623	1187143.826	1485410.045	753574.281	725461.785	459017.468	439310.625	737554.848	805513.961	558246.572	458939.48	329477.22	368764.926	967916.945	536231.099	505533.016	268599.972	787598.831	684871.287	857065.703	455949.959	307629.719	569520.766	606497.842	524849.922	431477.88	390912.378	915832.289	346666.466	492463.11	515998.435	565670.912	197726.353	302937.696	417973.811	323303.394	665247.638	365295.222	683826.857	1077762.182	382975.991	711904.453	529664.4	870647.695	349530.274	327228.789	643344.596	638709.123	419257.681	529099.289	605477.818	647612.876	225103.42	821565.503	864011.33	421525.937	817569.795	840931.189	256156.748	598527.213	187789.6	531247.752	181304.279	363976.629	768886.914	431891.514	256347.722	208020.748	400559.538	550438.957	404443.265	300403.811	290521.747	455830.172	908774.025	856815.062	345341.855	305002.825	627182.941	581850.795	327521.327	475265.303	260003.148	494970.403	684288.668	1129495.447	754769.556	420907.006	456328.442	325954.468	1359065.935	556976.362	192528.373
CHEBI:15356	C3H7NO2S	NC(CS)C(O)=O	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)	Cysteine	176.0133			Positive	15.716												8965.521	9427.273	8458	9527.963	8289.165	7999.299	8315.609	8458	8458	9556.019	8122.282	8021.853	9429.766	8146.193	9474.72	8370.708	8794.699	8784.307	8441.373	7966.461	14833.455	8458	29444.336	8503.768	77964.941	59648.428	34864.332	15874.515	32222.987	70557.58	131825.192	16646.475	20002.824	92775.595	18001.22	41496.681	35262.008	11131.892	17475.392	16235.576	78463.308	41555.671	9062.143	16791.917	25043.45	102194.731	12012.679	46168.109	4842.297	34175.772	53413.755	9504.571	65967.518	50793.768	19999.773	15278.508	16480.692	67255.136	73174.515	15659.912	39263.183	15809.422	11261.06	15609.058	131022.719	46167.092	3234.3	101332.251	9431.341	7498.898	2666.772	14781.158	18432.46	25779.813	94252.388	55281.106	49596.671	12237.453	1412.718	81783.042	11298.692	47028.555	22020.702	6190.939	6564.205	6679.135	10134.14	4356.688	9396.29	7337.982	7618.226	5923.374	5903.288	11833.357	2614.013	8551.733	7133.299	16680.71	12250.375	27379.702	4224.696	6040.062	8044.808	9077.788	4327.037	4133.832	3666.122	5143.857	3744.552	4623.541	3408.833	3943.496	42799.795	38369.459	22774.334	6129.97	9245.169	2989.903	8791.805	5222.287	6037.193	3931.062	6140.491	12052.387	7206.947	190162.009	12574.616	7649.789	5519.746	6274.396	10712.383	16804.094	10640.648	24472.056	1438.52	3552.303	3602.995	15869.63	3742.639	2214.211	5139.074	25429.475	9461.329	42374.169	14860.562	50145.428	14273.293	6477.166	9924.257	5096.033	8901.799	22180.371	17089.12	8633.989	6238.282	6701.762	2331.951	3557.161	1866.392	3136.288	4769.9	4816.664	2801.667	12028.671	23143.89	4642.08	9176.083	17334.795	5135.697	5108.678	24121.771	9604.231	10963.497	3164.346	7270.201	6517.825	5027.621	12170.001	4444.633	11538.171	2802.706	17743.198	3240.207	2627.082	3378.42	2641.631	2903.508	8043.362	3441.811	5958.738	4013.367	2693.591	8682.466	3611.199	2834.921	4226.402	6555.236	3418.948	9457.705	8648.173	4814.586	7449.982	45236.115	2160.484	6532.374	4550.631	4963.191	3147.719	5063.992	16842.217	63081.154	6542.765	9399.51	6130.205	20836.879	6666.43	5487.984
CHEBI:18237	C5H9NO4	NC(CCC(O)=O)C(O)=O	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	Glutamic Acid	82.0287			Positive	15.031												429309.328	454169.88	429165.445	451787.672	456114.183	425424.476	426038.796	455727.575	440548.5	455706.693	439502.022	437726.747	457439.676	438570.617	458238.304	465080.315	424237.657	463903.356	426873.494	461516.908	440548.5	429817.864	825685.62	312517.283	158638.348	217698.111	369955.542	421135.499	592207.877	477151.19	406310.503	193015.224	539516.518	456115.434	646957.393	64310.882	469044.923	611504.52	463617.391	522001.528	335406.006	467220.732	149155.805	507889.692	42353.022	619270.471	507052.666	538324.163	166576.959	311587.671	373771.581	136849.394	363350.668	592279.193	80029.207	30484.517	457600.562	310729.375	457527.994	271376.635	520611.489	439075.885	317677.067	204110.512	594919.141	363245.571	144920.628	334232.418	265735.154	349525.348	211229.613	298100.164	319947.923	202669.176	301414.488	400802.896	51617.863	514261.851	80869.987	569511.832	446791.789	470401.181	93110.087	322397.694	448540.911	253348.668	262482.137	379618.702	427329.832	477688.629	703892.101	414236.073	257985.32	581632.209	419009.153	442608.999	443928.899	718709.992	511470.981	605814.306	333089.778	345780.289	606359.183	806611.183	616379.405	477260.793	458379.932	410643.231	509849.137	494806.018	463987.047	402705.145	454670.05	763934.753	697630.937	683720.847	417562.377	511061.832	547939.358	420705.745	498153.96	523295.984	373470.645	645534.239	548157.702	570304.872	623689.014	651834.744	451397.84	620806.282	503548.632	483814.066	619833.569	598779.103	183152.316	369096.879	501891.381	791554.294	305484.99	326878.775	445257.65	659112.88	569487.557	447716.48	530784.596	551178.129	543182.015	598847.95	824154.441	445555.661	644821.179	626131.123	362482.627	641594.211	469220.373	727228.787	399885.245	310725.153	481075.725	320908.71	408742.997	419777.238	534429.244	701044.892	198480.295	698510.585	474586.677	646452.313	819531.38	621569.579	428126.355	476615.305	833309.888	391874.232	627680.107	448132.692	343949.118	380698.047	702793.574	384905.135	719103.431	531866.351	511714.125	568215.074	374175.484	538446.086	411413.335	426027.739	482436.03	290142.164	324073.883	374869.437	448710.329	556777.671	400829.572	546979.534	287394.94	524423.118	716075.274	603356.281	723592.436	454679.898	431158.454	573645.45	362017.514	604360.738	343433.582	405717.798	712108.704	670582.937	549625.228	606891.102	389507.499	258886.698	730546.748	353585.596	631488.961
CHEBI:26271	C5H9NO2	OC(=O)C1CCCN1	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)	Proline	82.0651			Positive	13.641												580987.712	593038.006	558608.396	577258.288	559327.672	473638.231	651762.228	583673.562	595230	556563.505	619869.881	533720.939	579123	533226.532	619730.284	593384.834	565409.996	573775.054	592182.635	591536.042	569225.67	579123	340599.935	670243.042	781755.729	537681.491	554999.545	1047746.397	572982.824	1172204.662	564664.726	457423.345	156315.667	538926.018	549760.889	313135.797	510989.293	2097496.787	248114.101	334046.072	700086.749	445905.231	163242.334	624967.474	813215.382	548684.054	406565.421	1230226.239	158043.869	789925.538	410275.443	366761.339	845456.675	1005262.007	1214163.8	292364.112	669468.331	460433.493	523485.843	143790.013	629305.303	515203.777	429363.275	406629.172	867312.125	425577.03	51880.709	1041205.006	263550.119	1150543.236	159194.156	1005219.045	347530.76	515108.151	306311.686	669297.866	764964.313	425060.093	25719.305	424429.515	387826.833	273274.893	423841.898	186185.706	94979.046	563859.525	261634.822	290672.461	544538.755	213763.111	572118.903	391408.345	255014.093	635183.892	219845.285	302613.841	172643.001	424785.656	186489.301	440247.019	239600.232	126263.759	520354.504	607785.996	603029.026	611079.133	225273.096	306353.884	213279.367	417807.733	309450.228	350750.651	264336.086	315163.051	357986.441	333586.977	456174.676	320067.373	363090.465	285652.777	393336.532	284694.016	168373.652	166437.71	353425.295	1223828.586	574540.527	404828.099	477504.939	918684.545	392319.605	153955.39	362413.806	300388.041	108151.987	121629.906	197040.525	337104.052	322790.489	160170.376	350481.151	415239.726	799265.898	361206.872	234389.571	256618.492	506037.062	208532.092	586432.466	228282.192	263611.925	399500.138	299889.756	277306.026	424871.788	584139.906	221466.905	180143.013	394935.875	181273.583	449982.451	290353.286	397746.814	892527.143	442808.944	941372.037	330675.346	739521.688	927675.488	312839.825	278583.934	388662.565	1136903.582	356188.677	598747.299	647599.937	150120.952	242612.828	501211.415	168607.905	961860.719	559918.793	164978.078	309136.434	147141.59	263197.337	156886.951	237807.904	297916.879	102284.666	171911.532	132666.806	117403.139	318314.573	196041.657	288829.727	112861.499	249673.084	816968.654	910393.637	1047127.786	191799.115	266844.588	351956.782	350288.997	264491.492	163108.959	244434.517	263422.87	811031.224	428718.437	721073.453	285261.848	122996.945	901791.43	280331.091	833829.445
CHEBI:18186	C9H11NO3	NC(Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)	Tyrosine	236.0679			Positive	18.293												123481	142306	116835	120946	131631	131362	96613	130989	129241.348	176219.329	127235	126249.643	122413.568	148863.277	126178.375	127235	127055.272	127095.752	145989.009	127868.095	126892.546	132410.669	49441	98496	146287	84721	94469	167077	103046	77242	50118	11391	88039	62288	198020	67866	141879	190258	244242	62198	145289	112781	50283	242525	89325	233885	303918	228956	19932	72456	133026	13987	27196	177542	107330	38720	77859	22206	59555	84128	388346	219195	228612	103760	144510	60212	17942	342753	72635	26593	97108	106590	153815	84342	101853	48051	29670	115823	13506	89425	82973	34764	13183	36751	35247	93200	38133	136521.525	636635.143	111802.388	489618.636	576835.127	279887.873	353289.225	255635.076	383737.686	55114.922	295786.826	218022.635	275794.613	598486.643	271008.815	520105.83	1118061.062	589957.728	272790.514	94478.076	92615.813	102945.02	46840.092	139082.524	258510.584	290477.362	135715.887	543534.398	468655.011	515259.609	294934.709	448737.165	194614.209	237588.789	73647.691	132727.281	67008.925	622184.789	604556.814	344345.096	300758.54	426986.493	206540.747	415589.817	107270.675	327019.235	216230.091	61234.671	69382.458	166035.757	271501.493	126593.588	270726.842	172471.563	291668.777	221231.243	614779.119	156447.117	257553.114	314632.553	222202.656	379540.623	83969.151	173729.598	202016.781	197018.728	214282.617	130506.528	220613.205	118783.755	104641.945	153154.635	83464.042	125468.488	59720.568	140246.631	387908.031	246586.273	415343.207	84842.763	224753.417	84772.33	129256.531	177808.891	150244.991	407406.047	86382.592	91224.712	119305.127	106961.402	120457.164	105136.601	16533.32	269771.134	294738.698	78768.456	135347.839	40285.7	136188.187	35656.499	111712.85	106930.638	36685.48	80130.986	58317.56	40274.365	159438.624	81431.987	83923.886	69523.009	73545.021	299847.982	517768.511	180170.447	155738.827	103662.348	105015.973	168187.797	71728.315	59510.077	64184.613	129866.147	562255.141	219600.416	250887.592	82093.417	89340.001	195045.739	150425.528	5655.752
CHEBI:35621	C4H9NO2	CCC(N)C(O)=O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	2-Aminobutyric Acid	116.0706			Positive	11.991												699794.812	594152.589	660386.732	562576.721	590997.687	496581.545	743132.423	617920.411	630591.036	532713.399	628484.269	539173.517	552614.025	659082.325	606036.5	624295.414	595331.145	605174.26	605727.075	1079922.05	609781.676	606036.5	829761.999	1044856.492	344617.309	194696.374	327392.887	357871.924	492382.169	1366373.206	347349.319	294747.037	123421.101	362605.619	1357261.581	51348.376	284193.555	1246656.094	595736.752	235847.034	399335.388	422477.6	171168.862	315225.706	308866.23	1777239.425	730637.669	3686146.999	41259.403	300757.461	1289639.282	811740.126	974134.333	2218102.719	254209.905	83309.545	153900.138	144395.157	3185015.683	113286.483	1096461.288	514900.113	137285.217	561313.417	2514976.294	2397225.961	249725.917	1741070.825	590166.673	300184.208	234521.975	806157.963	1041897.596	49190.961	574782.834	132213.209	274124.719	349085.186	192606.084	131677.546	743767.43	1800850.173	33074.111	68492.247	30313.908	189655.244	28480.037	101398.744	2241378.492	114528.23	1239456.216	207793.807	58511.055	1281040.848	52127.979	303797.706	48028.581	911519.62	30449.679	130485.445	91152.152	660947.504	75195.889	162861.175	1476419.473	41789.127	66969.51	133979.92	41724.449	228271.773	112554.622	66384.562	2171756.262	143753.797	114803.109	159504.615	311504.764	118045.533	491916.307	74054.525	119921.173	84846.118	14249.925	29924.652	164493.325	25812.889	488173.586	133581.394	165876.277	746483.196	128409.114	856982.413	78913.881	70387.895	12939.259	25098.586	85399.68	147571.658	66167.703	44767.135	70130.137	154529.221	574606.199	482366.898	109268.446	184560.4	1278971.175	33591.283	1595950.68	81478.144	74455.905	86832.091	281266.237	155140.801	878214.591	937394.98	117367.409	39739.433	549031.521	35221.638	964220.63	77416.661	735149.801	1332928.046	16511.794	5408859.985	221961.598	220580.505	2755336.56	134108.442	315955.145	127675.606	2618831.96	294128.409	406137.481	195171.796	52659.82	90290.823	217617.382	138790.384	2724868.561	2442982.256	36947.06	66007.553	69133.879	116444.794	218295.665	99826.4	146768.458	155938.952	75852.555	23844.603	40074.329	225697.341	57504.965	45147.77	54338.074	72959.241	489942.639	556371.878	2611737.823	184595.682	143112.902	176761	135932.918	112727.919	79250.571	85155.12	344157.172	132587.73	769486.558	3557595.769	178560.005	570887.502	2372869.16	74999.749	1053234.131
